Pathway 1,Database 1,Relation,Pathway 2,Database 2
Serotonin clearance from the synaptic cleft,Reactome,Part Of,Serotonergic synapse,KEGG
Serotonin Neurotransmitter Release Cycle,Reactome,Part Of,Synaptic Vesicle Pathway,WikiPathways
Serotonin receptors,Reactome,Part Of,Serotonergic synapse,KEGG
Serotonin receptors,Reactome,Part Of,Monoamine GPCRs,WikiPathways
SHC1 events in EGFR signaling,Reactome,Part Of,EGF/EGFR Signaling Pathway,WikiPathways
SHC1 events in EGFR signaling,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
SHC1 events in ERBB2 signaling,Reactome,Part Of,ErbB signaling pathway,KEGG
SHC1 events in ERBB2 signaling,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
SHC1 events in ERBB4 signaling,Reactome,Part Of,ErbB signaling pathway,KEGG
SHC1 events in ERBB4 signaling,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
Signaling by BMP,Reactome,Equivalent,Bone Morphogenic Protein (BMP) Signalling and Regulation,WikiPathways
Signaling by EGFR in Cancer,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
Signaling by ERBB2,Reactome,Part Of,ErbB signaling pathway,KEGG
Signaling by ERBB2,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
Signaling by ERBB4,Reactome,Part Of,ErbB signaling pathway,KEGG
Signaling by FGFR1 amplification mutants,Reactome,Part Of,Signaling pathways regulating pluripotency of stem cells,KEGG
Signaling by FGFR2 amplification mutants,Reactome,Part Of,Signaling pathways regulating pluripotency of stem cells,KEGG
Signaling by Hedgehog,Reactome,Part Of,Hedgehog signaling pathway,KEGG
Signaling by Hedgehog,Reactome,Equivalent,Hedgehog Signaling Pathway,WikiPathways
Signaling by Insulin receptor,Reactome,Part Of,Insulin signaling pathway,KEGG
Signaling by Interleukins,Reactome,Part Of,Cytokines and Inflammatory Response,WikiPathways
Signaling by Leptin,Reactome,Part Of,Adipocytokine signaling pathway,KEGG
Signaling by Leptin,Reactome,Equivalent,Leptin signaling pathway,WikiPathways
Signaling by Ligand-Responsive EGFR Variants in Cancer,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
Signaling by NOTCH,Reactome,Equivalent,Canonical  and Non-canonical Notch signaling,WikiPathways
Signaling by NOTCH,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
Signaling by NOTCH,Reactome,Equivalent,Notch Signaling Pathway,WikiPathways
Signaling by NOTCH1,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
M1580_K2555) Translocation Mutant,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
Signaling by NOTCH2,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
Signaling by NOTCH3,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
Signaling by NOTCH4,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
Signaling by Overexpressed Wild-Type EGFR in Cancer,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
Signaling by RAS mutants,Reactome,Part Of,Ras signaling pathway,KEGG
Signaling by TGF-beta family members,Reactome,Equivalent,TGF-beta Receptor Signaling,WikiPathways
Signaling by TGF-beta family members,Reactome,Equivalent,TGF-beta Signaling Pathway,WikiPathways
Signaling by TGF-beta Receptor Complex,Reactome,Equivalent,Canonical and Non-Canonical TGF-B signaling,WikiPathways
Signaling by TGF-beta Receptor Complex in Cancer,Reactome,Part Of,Canonical and Non-Canonical TGF-B signaling,WikiPathways
Signaling by the B Cell Receptor (BCR),Reactome,Equivalent,B Cell Receptor Signaling Pathway,WikiPathways
Signaling by VEGF,Reactome,Part Of,Robo4 and VEGF Signaling Pathways Crosstalk,WikiPathways
Signaling by WNT,Reactome,Equivalent,Wnt Signaling Pathway,WikiPathways
Signaling by WNT,Reactome,Part Of,Wnt Signaling Pathway and Pluripotency,WikiPathways
SMAD2/3 MH2 Domain Mutants in Cancer,Reactome,Part Of,Chromosomal and microsatellite instability in colorectal cancer,WikiPathways
SMAD4 MH2 Domain Mutants in Cancer,Reactome,Part Of,Chromosomal and microsatellite instability in colorectal cancer,WikiPathways
SMAD4 MH2 Domain Mutants in Cancer,Reactome,Part Of,Integrated Cancer Pathway,WikiPathways
SOS-mediated signalling,Reactome,Part Of,Alpha 6 Beta 4 signaling pathway,WikiPathways
SOS-mediated signalling,Reactome,Part Of,DNA Damage Response (only ATM dependent),WikiPathways
Sphingolipid metabolism,Reactome,Equivalent,Sphingolipid Metabolism,WikiPathways
Striated Muscle Contraction,Reactome,Equivalent,Striated Muscle Contraction,WikiPathways
Synthesis of 5-eicosatetraenoic acids,Reactome,Part Of,Biosynthesis of unsaturated fatty acids,KEGG
Synthesis of GDP-mannose,Reactome,Part Of,Fructose and mannose metabolism,KEGG
Synthesis of glycosylphosphatidylinositol (GPI),Reactome,Part Of,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,KEGG
"Synthesis of IP2, IP, and Ins in the cytosol",Reactome,Part Of,Phosphatidylinositol signaling system,KEGG
Synthesis of IP3 and IP4 in the cytosol,Reactome,Part Of,Phosphatidylinositol signaling system,KEGG
Synthesis of IPs in the nucleus,Reactome,Part Of,Phosphatidylinositol signaling system,KEGG
Synthesis of PE,Reactome,Part Of,Glycerophospholipid metabolism,KEGG
Synthesis of PIPs at the early endosome membrane,Reactome,Part Of,Phosphatidylinositol signaling system,KEGG
Synthesis of PIPs at the ER membrane,Reactome,Part Of,Phosphatidylinositol signaling system,KEGG
Synthesis of PIPs at the Golgi membrane,Reactome,Part Of,Phosphatidylinositol signaling system,KEGG
Synthesis of PIPs at the late endosome membrane,Reactome,Part Of,Phosphatidylinositol signaling system,KEGG
Synthesis of PIPs at the plasma membrane,Reactome,Part Of,Phosphatidylinositol signaling system,KEGG
Synthesis of PIPs in the nucleus,Reactome,Part Of,Phosphatidylinositol signaling system,KEGG
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),Reactome,Part Of,Prostaglandin Synthesis and Regulation,WikiPathways
Synthesis of PS,Reactome,Part Of,Glycerophospholipid metabolism,KEGG
Synthesis of very long-chain fatty acyl-CoAs,Reactome,Part Of,Biosynthesis of unsaturated fatty acids,KEGG
Terminal pathway of complement,Reactome,Part Of,Complement and coagulation cascades,KEGG
Terminal pathway of complement,Reactome,Part Of,Complement Activation,WikiPathways
Terminal pathway of complement,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Termination of O-glycan biosynthesis,Reactome,Part Of,Mannose type O-glycan biosynthesis,KEGG
Termination of O-glycan biosynthesis,Reactome,Part Of,Other types of O-glycan biosynthesis,KEGG
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),Reactome,Equivalent,TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition,WikiPathways
Thyroxine biosynthesis,Reactome,Equivalent,Thyroxine (Thyroid Hormone) Production,WikiPathways
TNFR1-induced NFkappaB signaling pathway,Reactome,Part Of,NF-kappa B signaling pathway,KEGG
TNFs bind their physiological receptors,Reactome,Part Of,Cytokine-cytokine receptor interaction,KEGG
Toll Like Receptor 10 (TLR10) Cascade,Reactome,Part Of,Toll-like receptor signaling pathway,KEGG
Toll Like Receptor 2 (TLR2) Cascade,Reactome,Part Of,Toll-like receptor signaling pathway,KEGG
Toll Like Receptor 3 (TLR3) Cascade,Reactome,Part Of,Toll-like receptor signaling pathway,KEGG
Toll Like Receptor 4 (TLR4) Cascade,Reactome,Part Of,Toll-like receptor signaling pathway,KEGG
Toll Like Receptor 4 (TLR4) Cascade,Reactome,Part Of,TLR4 Signaling and Tolerance,WikiPathways
Toll Like Receptor 5 (TLR5) Cascade,Reactome,Part Of,Toll-like receptor signaling pathway,KEGG
Toll Like Receptor 7/8 (TLR7/8) Cascade,Reactome,Part Of,Toll-like receptor signaling pathway,KEGG
Toll Like Receptor 9 (TLR9) Cascade,Reactome,Part Of,Toll-like receptor signaling pathway,KEGG
TLR2 Cascade,Reactome,Part Of,Toll-like receptor signaling pathway,KEGG
TLR2 Cascade,Reactome,Part Of,Toll-like receptor signaling pathway,KEGG
Toll-Like Receptors Cascades,Reactome,Equivalent,Toll-like Receptor Signaling,WikiPathways
Toll-Like Receptors Cascades,Reactome,Equivalent,Toll-like Receptor Signaling Pathway,WikiPathways
TP53 Regulates Metabolic Genes,Reactome,Part Of,p53 signaling pathway,KEGG
TP53 Regulates Transcription of Caspase Activators and Caspases,Reactome,Part Of,p53 signaling pathway,KEGG
TP53 Regulates Transcription of Caspase Activators and Caspases,Reactome,Part Of,Apoptosis Modulation and Signaling,WikiPathways
TP53 Regulates Transcription of Cell Cycle Genes,Reactome,Part Of,p53 signaling pathway,KEGG
TP53 Regulates Transcription of Cell Death Genes,Reactome,Part Of,p53 signaling pathway,KEGG
TP53 Regulates Transcription of Death Receptors and Ligands,Reactome,Part Of,p53 signaling pathway,KEGG
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,Reactome,Part Of,p53 signaling pathway,KEGG
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,Reactome,Part Of,p53 signaling pathway,KEGG
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,Reactome,Part Of,p53 signaling pathway,KEGG
Transcription from mitochondrial promoters,Reactome,Part Of,Mitochondrial Gene Expression,WikiPathways
Transcriptional regulation of white adipocyte differentiation,Reactome,Part Of,Differentiation of white and brown adipocyte,WikiPathways
Transcriptional regulation of white adipocyte differentiation,Reactome,Part Of,Transcription factor regulation in adipogenesis,WikiPathways
Transcriptional regulation of white adipocyte differentiation,Reactome,Part Of,Transcriptional cascade regulating adipogenesis,WikiPathways
Transcriptional regulation of white adipocyte differentiation,Reactome,Part Of,White fat cell differentiation,WikiPathways
Transfer of LPS from LBP carrier to CD14,Reactome,Part Of,Regulation of toll-like receptor signaling pathway,WikiPathways
Transport of connexins along the secretory pathway,Reactome,Part Of,Calcium Regulation in the Cardiac Cell,WikiPathways
Transport of Mature mRNA Derived from an Intronless Transcript,Reactome,Part Of,RNA transport,KEGG
Transport of Mature mRNAs Derived from Intronless Transcripts,Reactome,Part Of,RNA transport,KEGG
Transport of the SLBP Dependant Mature mRNA,Reactome,Part Of,RNA transport,KEGG
Transport of the SLBP independent Mature mRNA,Reactome,Part Of,RNA transport,KEGG
Triglyceride biosynthesis,Reactome,Equivalent,Triacylglyceride Synthesis,WikiPathways
tRNA Aminoacylation,Reactome,Part Of,Aminoacyl-tRNA biosynthesis,KEGG
Tryptophan catabolism,Reactome,Part Of,Tryptophan metabolism,KEGG
Tryptophan catabolism,Reactome,Part Of,Tryptophan metabolism,WikiPathways
Ub-specific processing proteases,Reactome,Part Of,Proteasome,KEGG
"Unblocking of NMDA receptor, glutamate binding and activation",Reactome,Part Of,Glutamatergic synapse,KEGG
Urea cycle,Reactome,Part Of,Biosynthesis of amino acids,KEGG
Urea cycle,Reactome,Part Of,Urea cycle and metabolism of amino groups,WikiPathways
VEGF binds to VEGFR leading to receptor dimerization,Reactome,Part Of,Robo4 and VEGF Signaling Pathways Crosstalk,WikiPathways
VEGF ligand-receptor interactions,Reactome,Part Of,Robo4 and VEGF Signaling Pathways Crosstalk,WikiPathways
VEGFA-VEGFR2 Pathway,Reactome,Part Of,Robo4 and VEGF Signaling Pathways Crosstalk,WikiPathways
VEGFA-VEGFR2 Pathway,Reactome,Equivalent,VEGFA-VEGFR2 Signaling Pathway,WikiPathways
Vitamin B5 (pantothenate) metabolism,Reactome,Part Of,Pantothenate and CoA biosynthesis,KEGG
Vitamin D (calciferol) metabolism,Reactome,Equivalent,Vitamin D Metabolism,WikiPathways
Vitamins B6 activation to pyridoxal phosphate,Reactome,Part Of,Vitamin B6 metabolism,KEGG
VLDL assembly,Reactome,Part Of,Cholesterol metabolism,KEGG
WNT ligand secretion is abrogated by the PORCN inhibitor LGK974,Reactome,Part Of,Wnt signaling pathway,KEGG
WNT mediated activation of DVL,Reactome,Part Of,Wnt signaling pathway,KEGG
Zinc efflux and compartmentalization by the SLC30 family,Reactome,Part Of,Zinc homeostasis,WikiPathways
Zinc influx into cells by the SLC39 gene family,Reactome,Part Of,Zinc homeostasis,WikiPathways
Zinc transporters,Reactome,Part Of,Zinc homeostasis,WikiPathways
ACE Inhibitor Pathway,WikiPathways,Part Of,Renin-angiotensin system,KEGG
Acetylcholine Synthesis,WikiPathways,Part Of,Metabolic pathways,KEGG
Acetylcholine Synthesis,WikiPathways,Part Of,Metabolism,Reactome
Aflatoxin B1 metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
Aflatoxin B1 metabolism,WikiPathways,Part Of,Metabolism,Reactome
Alanine and aspartate metabolism,WikiPathways,Part Of,"Alanine, aspartate and glutamate metabolism",KEGG
Alanine and aspartate metabolism,WikiPathways,Part Of,Biosynthesis of amino acids,KEGG
Alanine and aspartate metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
Alanine and aspartate metabolism,WikiPathways,Part Of,Metabolism of amino acids and derivatives,Reactome
Alanine and aspartate metabolism,WikiPathways,Part Of,Amino acid synthesis and interconversion (transamination),Reactome
Alanine and aspartate metabolism,WikiPathways,Part Of,Metabolism,Reactome
Alanine and aspartate metabolism,WikiPathways,Part Of,Amino Acid metabolism,WikiPathways
Allograft Rejection,WikiPathways,Part Of,Adaptive Immune System,Reactome
Allograft Rejection,WikiPathways,Part Of,Immune System,Reactome
Alpha 6 Beta 4 signaling pathway,WikiPathways,Part Of,Signal Transduction,Reactome
Amino acid conjugation of benzoic acid,WikiPathways,Part Of,Conjugation of carboxylic acids,Reactome
Amino acid conjugation of benzoic acid,WikiPathways,Part Of,Metabolism,Reactome
Amino acid conjugation of benzoic acid,WikiPathways,Part Of,Amino Acid conjugation,Reactome
Amino Acid metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
Amino Acid metabolism,WikiPathways,Part Of,Metabolism of amino acids and derivatives,Reactome
Amino Acid metabolism,WikiPathways,Part Of,Metabolism,Reactome
Apoptosis Modulation and Signaling,WikiPathways,Part Of,Apoptosis,KEGG
Apoptosis Modulation and Signaling,WikiPathways,Part Of,Apoptosis - multiple species,KEGG
Apoptosis Modulation and Signaling,WikiPathways,Part Of,Apoptosis,Reactome
Apoptosis Modulation and Signaling,WikiPathways,Part Of,Apoptosis,WikiPathways
Apoptosis Modulation by HSP70,WikiPathways,Part Of,Apoptosis,KEGG
Apoptosis Modulation by HSP70,WikiPathways,Part Of,Apoptosis - multiple species,KEGG
Apoptosis Modulation by HSP70,WikiPathways,Part Of,Apoptotic factor-mediated response,Reactome
Apoptosis Modulation by HSP70,WikiPathways,Part Of,Apoptosis,Reactome
Apoptosis Modulation by HSP70,WikiPathways,Part Of,Programmed Cell Death,Reactome
Apoptosis Modulation by HSP70,WikiPathways,Part Of,Apoptosis,WikiPathways
Arachidonate Epoxygenase / Epoxide Hydrolase,WikiPathways,Part Of,Metabolic pathways,KEGG
Arachidonate Epoxygenase / Epoxide Hydrolase,WikiPathways,Part Of,Metabolism,Reactome
Arachidonate Epoxygenase / Epoxide Hydrolase,WikiPathways,Part Of,Metabolism of lipids,Reactome
Arachidonate Epoxygenase / Epoxide Hydrolase,WikiPathways,Part Of,Biological oxidations,Reactome
Arachidonate Epoxygenase / Epoxide Hydrolase,WikiPathways,Part Of,Fatty acid metabolism,Reactome
Arachidonate Epoxygenase / Epoxide Hydrolase,WikiPathways,Part Of,Arachidonic acid metabolism,Reactome
Aryl Hydrocarbon Receptor,WikiPathways,Equivalent,Aryl Hydrocarbon Receptor Pathway,WikiPathways
Arylamine metabolism,WikiPathways,Part Of,Drug metabolism - other enzymes,KEGG
Arylamine metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
Arylamine metabolism,WikiPathways,Part Of,Metabolism,Reactome
B Cell Receptor Signaling Pathway,WikiPathways,Part Of,Adaptive Immune System,Reactome
B Cell Receptor Signaling Pathway,WikiPathways,Part Of,Immune System,Reactome
BDNF-TrkB Signaling,WikiPathways,Part Of,Signal Transduction,Reactome
Benzene metabolism,WikiPathways,Part Of,Metabolism,Reactome
Benzo(a)pyrene metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
Benzo(a)pyrene metabolism,WikiPathways,Part Of,Metabolism,Reactome
Biogenic Amine Synthesis,WikiPathways,Part Of,Metabolic pathways,KEGG
Biogenic Amine Synthesis,WikiPathways,Part Of,Metabolism,Reactome
"Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases",WikiPathways,Part Of,Folate biosynthesis,KEGG
"Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases",WikiPathways,Part Of,Metabolic pathways,KEGG
"Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases",WikiPathways,Part Of,Metabolism of cofactors,Reactome
"Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases",WikiPathways,Part Of,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",Reactome
"Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases",WikiPathways,Part Of,Metabolism of vitamins and cofactors,Reactome
"Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases",WikiPathways,Part Of,Metabolism,Reactome
Bladder Cancer,WikiPathways,Part Of,Pathways in cancer,KEGG
Blood Clotting Cascade,WikiPathways,Part Of,Hemostasis,Reactome
Butyrate-induced histone acetylation,WikiPathways,Part Of,Metabolism,Reactome
Caffeine and Theobromine metabolism,WikiPathways,Part Of,Drug metabolism - other enzymes,KEGG
Caffeine and Theobromine metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
Caffeine and Theobromine metabolism,WikiPathways,Part Of,Metabolism,Reactome
Caffeine and Theobromine metabolism,WikiPathways,Part Of,Xenobiotics,Reactome
Cannabinoid receptor signaling,WikiPathways,Part Of,Metabolic pathways,KEGG
Cannabinoid receptor signaling,WikiPathways,Part Of,Signal Transduction,Reactome
Canonical  and Non-canonical Notch signaling,WikiPathways,Part Of,Signal Transduction,Reactome
Canonical  and Non-canonical Notch signaling,WikiPathways,Equivalent,Notch Signaling Pathway,WikiPathways
Cell-type Dependent Selectivity of CCK2R Signaling,WikiPathways,Part Of,Pancreatic secretion,KEGG
Cholesterol Biosynthesis,WikiPathways,Part Of,Cholesterol metabolism,KEGG
Cholesterol Biosynthesis,WikiPathways,Part Of,Metabolic pathways,KEGG
Cholesterol Biosynthesis,WikiPathways,Part Of,Metabolism of lipids,Reactome
Cholesterol Biosynthesis,WikiPathways,Part Of,Metabolism,Reactome
Cholesterol Biosynthesis,WikiPathways,Part Of,Metabolism of steroids,Reactome
Circadian rythm related genes,WikiPathways,Part Of,Circadian rhythm,KEGG
Cocaine metabolism,WikiPathways,Part Of,Drug metabolism - other enzymes,KEGG
Cocaine metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
Cocaine metabolism,WikiPathways,Part Of,Metabolism,Reactome
Codeine and Morphine Metabolism,WikiPathways,Part Of,Drug metabolism - cytochrome P450,KEGG
Codeine and Morphine Metabolism,WikiPathways,Part Of,Drug metabolism - other enzymes,KEGG
Codeine and Morphine Metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
Codeine and Morphine Metabolism,WikiPathways,Part Of,Metabolism,Reactome
Colchicine Metabolic Pathway,WikiPathways,Part Of,Drug metabolism - other enzymes,KEGG
Colchicine Metabolic Pathway,WikiPathways,Part Of,Metabolic pathways,KEGG
Colchicine Metabolic Pathway,WikiPathways,Part Of,Metabolism,Reactome
Complement Activation,WikiPathways,Part Of,Complement and coagulation cascades,KEGG
Complement Activation,WikiPathways,Part Of,Complement and Coagulation Cascades,WikiPathways
Composition of Lipid Particles,WikiPathways,Part Of,Metabolism,Reactome
Copper homeostasis,WikiPathways,Part Of,Cell redox homeostasis,Reactome
Cori Cycle,WikiPathways,Part Of,Carbon metabolism,KEGG
Cori Cycle,WikiPathways,Part Of,Metabolic pathways,KEGG
Cori Cycle,WikiPathways,Part Of,Metabolism,Reactome
Cori Cycle,WikiPathways,Part Of,Glucose metabolism,Reactome
Cori Cycle,WikiPathways,Part Of,Metabolism of carbohydrates,Reactome
Corticotropin-releasing hormone signaling pathway,WikiPathways,Part Of,Glucocorticoid biosynthesis,Reactome
Cytokines and Inflammatory Response,WikiPathways,Part Of,Immune System,Reactome
Cytoplasmic Ribosomal Proteins,WikiPathways,Part Of,Ribosome,KEGG
Cytosine methylation,WikiPathways,Part Of,Metabolic pathways,KEGG
Cytosine methylation,WikiPathways,Part Of,DNA methylation,Reactome
Cytosine methylation,WikiPathways,Part Of,Methylation,Reactome
"Degradation pathway of sphingolipids, including diseases",WikiPathways,Part Of,Glycerolipid metabolism,KEGG
"Degradation pathway of sphingolipids, including diseases",WikiPathways,Part Of,Metabolic pathways,KEGG
"Degradation pathway of sphingolipids, including diseases",WikiPathways,Part Of,Sphingolipid metabolism,Reactome
"Degradation pathway of sphingolipids, including diseases",WikiPathways,Part Of,Metabolism,Reactome
"Degradation pathway of sphingolipids, including diseases",WikiPathways,Part Of,Metabolism of lipids,Reactome
"Degradation pathway of sphingolipids, including diseases",WikiPathways,Part Of,Glycosphingolipid metabolism,Reactome
Development of pulmonary dendritic cells and macrophage subsets,WikiPathways,Part Of,Immune System,Reactome
Diclofenac Metabolic Pathway,WikiPathways,Part Of,Drug metabolism - cytochrome P450,KEGG
Diclofenac Metabolic Pathway,WikiPathways,Part Of,Metabolic pathways,KEGG
Diclofenac Metabolic Pathway,WikiPathways,Part Of,Metabolism,Reactome
Diclofenac Metabolic Pathway,WikiPathways,Part Of,Cytochrome P450 - arranged by substrate type,Reactome
Differentiation of white and brown adipocyte,WikiPathways,Part Of,Developmental Biology,Reactome
DNA IR-damage and cellular response via ATR,WikiPathways,Part Of,Sensing of DNA Double Strand Breaks,Reactome
DNA IR-damage and cellular response via ATR,WikiPathways,Part Of,DNA Repair,Reactome
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM,WikiPathways,Part Of,DNA Repair,Reactome
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM,WikiPathways,Part Of,DNA Double Strand Break Response,Reactome
Dopamine metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
Dopamine metabolism,WikiPathways,Part Of,Metabolism,Reactome
Drug Induction of Bile Acid Pathway,WikiPathways,Part Of,Bile secretion,KEGG
Dual hijack model of Vif in HIV infection,WikiPathways,Part Of,HIV Infection,Reactome
EGF/EGFR Signaling Pathway,WikiPathways,Part Of,EGFR interacts with phospholipase C-gamma,Reactome
EGF/EGFR Signaling Pathway,WikiPathways,Part Of,Inhibition of Signaling by Overexpressed EGFR,Reactome
Eicosanoid Synthesis,WikiPathways,Part Of,Metabolic pathways,KEGG
Eicosanoid Synthesis,WikiPathways,Part Of,Arachidonic acid metabolism,Reactome
Eicosanoid Synthesis,WikiPathways,Part Of,Eicosanoids,Reactome
Eicosanoid Synthesis,WikiPathways,Part Of,Metabolism of lipids,Reactome
Eicosanoid Synthesis,WikiPathways,Part Of,Metabolism,Reactome
Electron Transport Chain,WikiPathways,Part Of,Metabolic pathways,KEGG
Endothelin Pathways,WikiPathways,Part Of,Vascular smooth muscle contraction,KEGG
Energy Metabolism,WikiPathways,Part Of,Metabolism,Reactome
ERK Pathway in Huntington's Disease,WikiPathways,Part Of,Huntington disease,KEGG
ESC Pluripotency Pathways,WikiPathways,Part Of,Signaling pathways regulating pluripotency of stem cells,KEGG
Estrogen metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
Estrogen metabolism,WikiPathways,Part Of,Metabolism,Reactome
Eukaryotic Transcription Initiation,WikiPathways,Part Of,Basal transcription factors,KEGG
Eukaryotic Transcription Initiation,WikiPathways,Part Of,Metabolic pathways,KEGG
Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation,WikiPathways,Part Of,via Death Receptors in the presence of ligand,Reactome
Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation,WikiPathways,Part Of,Apoptosis,Reactome
Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation,WikiPathways,Part Of,Programmed Cell Death,Reactome
Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation,WikiPathways,Part Of,Stimulation of the cell death response by PAK-2p34,Reactome
Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation,WikiPathways,Part Of,Formation of apoptosome,Reactome
Fatty Acid Beta Oxidation,WikiPathways,Part Of,Fatty acid degradation,KEGG
Fatty Acid Beta Oxidation,WikiPathways,Part Of,Fatty acid metabolism,KEGG
Fatty Acid Beta Oxidation,WikiPathways,Part Of,Metabolic pathways,KEGG
Fatty Acid Beta Oxidation,WikiPathways,Part Of,Fatty acid metabolism,Reactome
Fatty Acid Beta Oxidation,WikiPathways,Part Of,Metabolism,Reactome
Fatty Acid Beta Oxidation,WikiPathways,Part Of,Mitochondrial Fatty Acid Beta-Oxidation,Reactome
Fatty Acid Beta Oxidation,WikiPathways,Part Of,Metabolism of lipids,Reactome
Fatty Acid Biosynthesis,WikiPathways,Part Of,Fatty acid metabolism,KEGG
Fatty Acid Biosynthesis,WikiPathways,Part Of,Metabolic pathways,KEGG
Fatty Acid Biosynthesis,WikiPathways,Part Of,Metabolism of lipids,Reactome
Fatty Acid Biosynthesis,WikiPathways,Part Of,Fatty acid metabolism,Reactome
Fatty Acid Biosynthesis,WikiPathways,Part Of,Metabolism,Reactome
Fatty Acid Omega Oxidation,WikiPathways,Part Of,Fatty acid degradation,KEGG
Fatty Acid Omega Oxidation,WikiPathways,Part Of,Metabolic pathways,KEGG
Fatty Acid Omega Oxidation,WikiPathways,Part Of,Mitochondrial Fatty Acid Beta-Oxidation,Reactome
Fatty Acid Omega Oxidation,WikiPathways,Part Of,Metabolism of lipids,Reactome
Fatty Acid Omega Oxidation,WikiPathways,Part Of,Biological oxidations,Reactome
Fatty Acid Omega Oxidation,WikiPathways,Part Of,Fatty acid metabolism,Reactome
Fatty Acid Omega Oxidation,WikiPathways,Part Of,Metabolism,Reactome
Felbamate Metabolism,WikiPathways,Part Of,Drug metabolism - cytochrome P450,KEGG
Felbamate Metabolism,WikiPathways,Part Of,Drug metabolism - other enzymes,KEGG
Felbamate Metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
Felbamate Metabolism,WikiPathways,Part Of,Metabolism,Reactome
Fibrin Complement Receptor 3 Signaling Pathway,WikiPathways,Part Of,Innate Immune System,Reactome
Fibrin Complement Receptor 3 Signaling Pathway,WikiPathways,Part Of,Immune System,Reactome
Fluoropyrimidine Activity,WikiPathways,Part Of,Pyrimidine catabolism,Reactome
Fluoropyrimidine Activity,WikiPathways,Part Of,Metabolism,Reactome
Fluoropyrimidine Activity,WikiPathways,Part Of,Metabolism of nucleotides,Reactome
Folate Metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
Folate Metabolism,WikiPathways,Part Of,Metabolism of water-soluble vitamins and cofactors,Reactome
Folate Metabolism,WikiPathways,Part Of,Metabolism of folate and pterines,Reactome
Folate Metabolism,WikiPathways,Part Of,Metabolism of vitamins and cofactors,Reactome
Folate Metabolism,WikiPathways,Part Of,Metabolism,Reactome
G1 to S cell cycle control,WikiPathways,Part Of,Cell cycle,KEGG
G1 to S cell cycle control,WikiPathways,Part Of,Mitotic G1-G1/S phases,Reactome
G1 to S cell cycle control,WikiPathways,Part Of,Cell Cycle,Reactome
G1 to S cell cycle control,WikiPathways,Part Of,"Cell Cycle, Mitotic",Reactome
G1 to S cell cycle control,WikiPathways,Part Of,G1/S Transition,Reactome
